Exercise ID,Name,GIF URL,Instructions,Target Muscles,Body Parts,Equipments,Secondary Muscles
SYJ4Bkt,barbell lying preacher curl,https://cdn-exercisedb.vercel.app/api/v1/images/SYJ4Bkt.gif,"Step:1 Sit on a preacher bench with your chest against the pad and your arms extended over the edge, holding a barbell with an underhand grip. Step:2 Keeping your upper arms stationary, exhale and curl the weights while contracting your biceps. Step:3 Continue to raise the bar until your biceps are fully contracted and the bar is at shoulder level. Step:4 Hold the contracted position for a brief pause as you squeeze your biceps. Step:5 Inhale and slowly begin to lower the barbell back to the starting position. Step:6 Repeat for the desired number of repetitions.",biceps,upper arms,barbell,forearms
SNFfUff,barbell lying lifting (on hip),https://cdn-exercisedb.vercel.app/api/v1/images/SNFfUff.gif,"Step:1 Lie flat on your back on a bench with your feet flat on the ground and your knees bent. Step:2 Hold the barbell with an overhand grip and position it on your hips. Step:3 Engaging your glutes, lift your hips off the bench until your body forms a straight line from your knees to your shoulders. Step:4 Pause for a moment at the top, then slowly lower your hips back down to the starting position. Step:5 Repeat for the desired number of repetitions.",glutes,upper legs,barbell,"hamstrings, quadriceps"
EMpUwRI,barbell lying extension,https://cdn-exercisedb.vercel.app/api/v1/images/EMpUwRI.gif,"Step:1 Lie flat on a bench with your feet flat on the ground and your head at the end of the bench. Step:2 Hold the barbell with an overhand grip, hands shoulder-width apart, and extend your arms straight up over your chest. Step:3 Keeping your upper arms stationary, slowly lower the barbell towards your forehead by bending your elbows. Step:4 Pause for a moment, then extend your arms back up to the starting position. Step:5 Repeat for the desired number of repetitions.",triceps,upper arms,barbell,shoulders
HJ63mSO,barbell lying close-grip triceps extension,https://cdn-exercisedb.vercel.app/api/v1/images/HJ63mSO.gif,"Step:1 Lie flat on a bench with your feet flat on the ground and your head at the end of the bench. Step:2 Grasp the barbell with a close grip, hands shoulder-width apart, palms facing up. Step:3 Extend your arms fully, lifting the barbell above your chest. Step:4 Keeping your upper arms stationary, slowly lower the barbell towards your forehead by bending your elbows. Step:5 Pause for a moment at the bottom, then extend your arms back to the starting position. Step:6 Repeat for the desired number of repetitions.",triceps,upper arms,barbell,shoulders
EcaV7aL,barbell lying close-grip press,https://cdn-exercisedb.vercel.app/api/v1/images/EcaV7aL.gif,"Step:1 Lie flat on a bench with your feet flat on the ground and your back pressed against the bench. Step:2 Grasp the barbell with a close grip, hands shoulder-width apart, palms facing towards your feet. Step:3 Lift the barbell off the rack and hold it directly above your chest with your arms fully extended. Step:4 Slowly lower the barbell towards your chest, keeping your elbows close to your body. Step:5 Pause for a moment when the barbell touches your chest, then push it back up to the starting position. Step:6 Repeat for the desired number of repetitions.",triceps,upper arms,barbell,"chest, shoulders"
yg8Totb,barbell lying back of the head tricep extension,https://cdn-exercisedb.vercel.app/api/v1/images/yg8Totb.gif,"Step:1 Lie flat on a bench with your feet flat on the ground and your head at the end of the bench. Step:2 Hold a barbell with an overhand grip, hands shoulder-width apart, and extend your arms straight up over your chest. Step:3 Keeping your upper arms stationary, slowly lower the barbell behind your head by bending your elbows. Step:4 Pause for a moment, then extend your arms back up to the starting position. Step:5 Repeat for the desired number of repetitions.",triceps,upper arms,barbell,shoulders
t8iSghb,barbell lunge,https://cdn-exercisedb.vercel.app/api/v1/images/t8iSghb.gif,"Step:1 Start by standing with your feet shoulder-width apart and a barbell resting on your upper back. Step:2 Take a step forward with your right foot, keeping your torso upright. Step:3 Lower your body by bending your right knee until your thigh is parallel to the ground. Step:4 Push through your right heel to return to the starting position. Step:5 Repeat with your left leg, alternating legs for the desired number of repetitions.",glutes,upper legs,barbell,"quadriceps, hamstrings, calves"
bTpEUcm,barbell low bar squat,https://cdn-exercisedb.vercel.app/api/v1/images/bTpEUcm.gif,"Step:1 Stand with your feet shoulder-width apart and the barbell resting on your upper back. Step:2 Keeping your chest up and core engaged, slowly lower your body by bending your knees and pushing your hips back. Step:3 Continue lowering until your thighs are parallel to the ground or slightly below. Step:4 Pause for a moment, then push through your heels to return to the starting position. Step:5 Repeat for the desired number of repetitions.",glutes,upper legs,barbell,"quadriceps, hamstrings, calves"
py1HSzx,barbell lateral lunge,https://cdn-exercisedb.vercel.app/api/v1/images/py1HSzx.gif,"Step:1 Stand with your feet shoulder-width apart, holding a barbell across your upper back. Step:2 Take a big step to the side with your right foot, keeping your left foot planted. Step:3 Bend your right knee and lower your body down into a lunge position, keeping your left leg straight. Step:4 Push off with your right foot and return to the starting position. Step:5 Repeat on the other side, stepping with your left foot.",glutes,upper legs,barbell,"quadriceps, hamstrings, calves"
1gFNTZV,barbell jump squat,https://cdn-exercisedb.vercel.app/api/v1/images/1gFNTZV.gif,"Step:1 Start by standing with your feet shoulder-width apart, holding a barbell across your upper back. Step:2 Lower your body into a squat position by bending your knees and pushing your hips back. Step:3 Once you reach the bottom of the squat, explode upwards by jumping off the ground. Step:4 As you jump, extend your hips, knees, and ankles, pushing through your toes. Step:5 Land softly back into the squat position and immediately repeat the movement for the desired number of repetitions.",glutes,upper legs,barbell,"quadriceps, hamstrings, calves"
ZsiqXYa,barbell jm bench press,https://cdn-exercisedb.vercel.app/api/v1/images/ZsiqXYa.gif,"Step:1 Lie flat on a bench with your feet flat on the ground and your back pressed against the bench. Step:2 Grasp the barbell with an overhand grip, slightly wider than shoulder-width apart. Step:3 Lower the barbell to your chest, keeping your elbows tucked in close to your body. Step:4 Push the barbell back up to the starting position, fully extending your arms. Step:5 Repeat for the desired number of repetitions.",triceps,upper arms,barbell,"chest, shoulders"
pkSoCW9,barbell jefferson squat,https://cdn-exercisedb.vercel.app/api/v1/images/pkSoCW9.gif,"Step:1 Stand with your feet shoulder-width apart and toes slightly turned out. Step:2 Hold the barbell with an overhand grip, resting it on the front of your body, just below your waist. Step:3 Step your left foot forward and your right foot back, keeping your feet shoulder-width apart. Step:4 Bend your knees and lower your body down into a squat position, keeping your back straight and chest up. Step:5 Push through your heels to stand back up to the starting position. Step:6 Repeat the movement, alternating your forward and back foot with each repetition.",glutes,upper legs,barbell,"quadriceps, hamstrings, calves"
xi0yckC,barbell incline shoulder raise,https://cdn-exercisedb.vercel.app/api/v1/images/xi0yckC.gif,"Step:1 Set up an incline bench at a 45-degree angle. Step:2 Sit on the bench with your back against the pad and feet flat on the ground. Step:3 Hold a barbell with an overhand grip, slightly wider than shoulder-width apart. Step:4 Lift the barbell up to shoulder height, keeping your elbows slightly bent. Step:5 Slowly raise the barbell overhead, extending your arms fully. Step:6 Pause for a moment at the top, then slowly lower the barbell back to shoulder height. Step:7 Repeat for the desired number of repetitions.",serratus anterior,chest,barbell,"deltoids, trapezius"
dmgMp3n,barbell incline row,https://cdn-exercisedb.vercel.app/api/v1/images/dmgMp3n.gif,"Step:1 Set up an incline bench at a 45-degree angle. Step:2 Lie face down on the bench with your chest against the pad and your feet flat on the ground. Step:3 Grasp the barbell with an overhand grip, slightly wider than shoulder-width apart. Step:4 Keep your back straight and your core engaged. Step:5 Pull the barbell towards your chest, squeezing your shoulder blades together. Step:6 Pause for a moment at the top, then slowly lower the barbell back to the starting position. Step:7 Repeat for the desired number of repetitions.",upper back,back,barbell,"biceps, forearms"
641mIfk,barbell incline reverse-grip press,https://cdn-exercisedb.vercel.app/api/v1/images/641mIfk.gif,"Step:1 Set up an incline bench at a 45-degree angle. Step:2 Lie back on the bench and grasp the barbell with a reverse grip, hands slightly wider than shoulder-width apart. Step:3 Unrack the barbell and lower it towards your upper chest, keeping your elbows tucked in. Step:4 Pause for a moment at the bottom, then push the barbell back up to the starting position. Step:5 Repeat for the desired number of repetitions.",triceps,upper arms,barbell,"chest, shoulders"
gx7s7uF,barbell incline close grip bench press,https://cdn-exercisedb.vercel.app/api/v1/images/gx7s7uF.gif,"Step:1 Set up an incline bench at a 45-degree angle. Step:2 Lie down on the bench with your feet flat on the ground. Step:3 Grasp the barbell with a close grip, slightly narrower than shoulder-width apart. Step:4 Unrack the barbell and lower it slowly towards your chest, keeping your elbows close to your body. Step:5 Pause for a moment when the barbell touches your chest. Step:6 Push the barbell back up to the starting position, fully extending your arms. Step:7 Repeat for the desired number of repetitions.",triceps,upper arms,barbell,"chest, shoulders"
3TZduzM,barbell incline bench press,https://cdn-exercisedb.vercel.app/api/v1/images/3TZduzM.gif,"Step:1 Set up an incline bench at a 45-degree angle. Step:2 Lie down on the bench with your feet flat on the ground. Step:3 Grasp the barbell with an overhand grip, slightly wider than shoulder-width apart. Step:4 Unrack the barbell and lower it slowly towards your chest, keeping your elbows at a 45-degree angle. Step:5 Pause for a moment at the bottom, then push the barbell back up to the starting position. Step:6 Repeat for the desired number of repetitions.",pectorals,chest,barbell,"shoulders, triceps"
Gnfo4FM,barbell high bar squat,https://cdn-exercisedb.vercel.app/api/v1/images/Gnfo4FM.gif,"Step:1 Stand with your feet shoulder-width apart, toes slightly turned out. Step:2 Place the barbell on your upper back, resting it on your traps. Step:3 Engage your core and keep your chest up as you begin to squat down, pushing your hips back and bending your knees. Step:4 Lower yourself until your thighs are parallel to the ground, or as low as you can comfortably go. Step:5 Drive through your heels to stand back up, extending your hips and knees. Step:6 Repeat for the desired number of repetitions.",glutes,upper legs,barbell,"quadriceps, hamstrings, calves, core"
5VCj6iH,barbell hack squat,https://cdn-exercisedb.vercel.app/api/v1/images/5VCj6iH.gif,"Step:1 Start by standing with your feet shoulder-width apart and your toes slightly turned out. Step:2 Hold the barbell behind your legs, resting it on your upper thighs. Step:3 Lower your body by bending at the knees and hips, keeping your back straight and your chest up. Step:4 Continue lowering until your thighs are parallel to the ground, or as low as you can comfortably go. Step:5 Pause for a moment, then push through your heels to return to the starting position. Step:6 Repeat for the desired number of repetitions.",glutes,upper legs,barbell,"quadriceps, hamstrings, calves"
GXoaSgn,barbell guillotine bench press,https://cdn-exercisedb.vercel.app/api/v1/images/GXoaSgn.gif,"Step:1 Lie flat on a bench with your feet flat on the ground and your back pressed against the bench. Step:2 Grasp the barbell with an overhand grip, slightly wider than shoulder-width apart. Step:3 Lower the barbell slowly towards your neck, keeping your elbows pointed outwards. Step:4 Pause for a moment when the barbell is just above your neck. Step:5 Push the barbell back up to the starting position, fully extending your arms. Step:6 Repeat for the desired number of repetitions.",pectorals,chest,barbell,"shoulders, triceps"
XlZ4lAC,barbell good morning,https://cdn-exercisedb.vercel.app/api/v1/images/XlZ4lAC.gif,"Step:1 Start by standing with your feet shoulder-width apart and the barbell resting on your upper back. Step:2 Keeping your back straight and your core engaged, hinge forward at the hips, pushing your buttocks back as if you were trying to touch the wall behind you with your glutes. Step:3 Lower your torso until it is parallel to the ground, feeling a stretch in your hamstrings. Step:4 Pause for a moment, then return to the starting position by squeezing your glutes and pushing your hips forward. Step:5 Repeat for the desired number of repetitions.",hamstrings,upper legs,barbell,lower back
qg2PGl6,barbell glute bridge two legs on bench (male),https://cdn-exercisedb.vercel.app/api/v1/images/qg2PGl6.gif,"Step:1 Start by sitting on the edge of a bench with your upper back resting against it and your feet flat on the ground, hip-width apart. Step:2 Place a barbell across your hips, holding it securely with both hands. Step:3 Engage your glutes and core muscles, then press through your heels to lift your hips off the bench, creating a straight line from your knees to your shoulders. Step:4 Pause for a moment at the top, squeezing your glutes. Step:5 Slowly lower your hips back down to the starting position. Step:6 Repeat for the desired number of repetitions.",glutes,upper legs,barbell,"hamstrings, core"
qKBpF7I,barbell glute bridge,https://cdn-exercisedb.vercel.app/api/v1/images/qKBpF7I.gif,"Step:1 Start by lying flat on your back on the ground with your knees bent and feet flat on the floor. Step:2 Place a barbell across your hips, holding it securely with both hands. Step:3 Engage your glutes and core muscles, then lift your hips off the ground until your body forms a straight line from your knees to your shoulders. Step:4 Pause for a moment at the top, squeezing your glutes. Step:5 Slowly lower your hips back down to the starting position. Step:6 Repeat for the desired number of repetitions.",glutes,upper legs,barbell,"hamstrings, lower back"
vR1vold,barbell full zercher squat,https://cdn-exercisedb.vercel.app/api/v1/images/vR1vold.gif,"Step:1 Stand with your feet shoulder-width apart and toes slightly turned out. Step:2 Hold the barbell in the crooks of your elbows, with your hands gripping the barbell for stability. Step:3 Engage your core and keep your chest lifted as you lower your hips back and down into a squat position. Step:4 Keep your knees in line with your toes and your weight in your heels. Step:5 Lower until your thighs are parallel to the ground, or as low as you can comfortably go. Step:6 Drive through your heels to stand back up, squeezing your glutes at the top of the movement. Step:7 Repeat for the desired number of repetitions.",glutes,upper legs,barbell,"quadriceps, hamstrings, calves, core"
iYzB0Cz,barbell full squat (side pov),https://cdn-exercisedb.vercel.app/api/v1/images/iYzB0Cz.gif,"Step:1 Stand with your feet shoulder-width apart, toes slightly turned out. Step:2 Hold the barbell across your upper back, resting it on your traps or rear delts. Step:3 Engage your core and keep your chest up as you begin to lower your body down. Step:4 Bend at the knees and hips, pushing your hips back and down as if sitting into a chair. Step:5 Lower your body until your thighs are parallel to the ground or slightly below. Step:6 Keep your knees in line with your toes and your weight in your heels. Step:7 Drive through your heels to stand back up, extending your hips and knees. Step:8 Repeat for the desired number of repetitions.",glutes,upper legs,barbell,"quadriceps, hamstrings, calves, core"
DhMl549,barbell full squat (back pov),https://cdn-exercisedb.vercel.app/api/v1/images/DhMl549.gif,"Step:1 Stand with your feet shoulder-width apart, toes slightly turned out. Step:2 Hold the barbell across your upper back, resting it on your traps or rear delts. Step:3 Engage your core and keep your chest up as you begin to lower your body down. Step:4 Bend at the knees and hips, pushing your hips back and down as if sitting into a chair. Step:5 Lower your body until your thighs are parallel to the ground or slightly below. Step:6 Keep your knees in line with your toes and your weight in your heels. Step:7 Drive through your heels to stand back up, extending your hips and knees. Step:8 Repeat for the desired number of repetitions.",glutes,upper legs,barbell,"quadriceps, hamstrings, calves, core"
qXTaZnJ,barbell full squat,https://cdn-exercisedb.vercel.app/api/v1/images/qXTaZnJ.gif,"Step:1 Stand with your feet shoulder-width apart, toes slightly turned out. Step:2 Hold the barbell across your upper back, resting it on your traps or rear delts. Step:3 Engage your core and keep your chest up as you begin to lower your body down. Step:4 Bend at the knees and hips, pushing your hips back and down as if sitting into a chair. Step:5 Lower yourself until your thighs are parallel to the ground or slightly below. Step:6 Keep your knees in line with your toes and your weight in your heels. Step:7 Drive through your heels to stand back up, extending your hips and knees. Step:8 Repeat for the desired number of repetitions.",glutes,upper legs,barbell,"quadriceps, hamstrings, calves, core"
zG0zs85,barbell front squat,https://cdn-exercisedb.vercel.app/api/v1/images/zG0zs85.gif,"Step:1 Start by standing with your feet shoulder-width apart, toes slightly turned out. Step:2 Hold the barbell in front of your shoulders, resting it on your collarbone and shoulders. Step:3 Engage your core and keep your chest up as you lower your body down into a squat position, pushing your hips back and bending your knees. Step:4 Lower until your thighs are parallel to the ground, or as low as you can comfortably go. Step:5 Pause for a moment at the bottom, then push through your heels to return to the starting position. Step:6 Repeat for the desired number of repetitions.",glutes,upper legs,barbell,"quadriceps, hamstrings, calves, core"
33AzZeV,barbell front raise and pullover,https://cdn-exercisedb.vercel.app/api/v1/images/33AzZeV.gif,"Step:1 Stand with your feet shoulder-width apart and hold a barbell with an overhand grip, palms facing down. Step:2 Keep your arms straight and raise the barbell in front of you until it reaches shoulder height. Step:3 Pause for a moment at the top, then slowly lower the barbell back down to the starting position. Step:4 Next, lower the barbell behind your head, keeping your arms straight. Step:5 Pause for a moment at the bottom, then raise the barbell back up to the starting position. Step:6 Repeat for the desired number of repetitions.",pectorals,chest,barbell,"deltoids, triceps"
b2Uoz54,barbell front raise,https://cdn-exercisedb.vercel.app/api/v1/images/b2Uoz54.gif,"Step:1 Stand with your feet shoulder-width apart and hold a barbell in front of your thighs with an overhand grip. Step:2 Keep your arms straight and lift the barbell forward and upward until it reaches shoulder level. Step:3 Pause for a moment at the top, then slowly lower the barbell back down to the starting position. Step:4 Repeat for the desired number of repetitions.",delts,shoulders,barbell,"biceps, triceps"
